YEAR,MONTH,DAY,DOY,TMAX,TMIN,TMEAN,RAIN
2016,2,16,47,26.77,8.87,17.78,0
2016,2,17,48,23.45,10,16.6,0
2016,2,18,49,25.69,12.39,18.15,0
2016,2,19,50,26.55,17.44,20.82,0
2016,2,20,51,23.83,18.51,20.38,0
2016,2,21,52,21.32,17.79,19.32,0
2016,2,22,53,23.57,12.85,17.06,0
2016,2,23,54,15.94,8.39,12.12,36.322
2016,2,24,55,18.29,6.53,11.31,0
2016,2,25,56,19.2,3.98,12.06,0
2016,2,26,57,18.63,4.43,11.3,0
2016,2,27,58,21.92,8.29,14.97,0
2016,2,28,59,24.73,12.73,17.82,0
2016,2,29,60,25.09,16.89,19.97,0
2016,3,1,61,26.64,14.51,20.34,0
2016,3,2,62,24.17,9.53,17.07,0
2016,3,3,63,27.28,16.18,21.78,0
2016,3,4,64,23.96,9.93,17.09,0
2016,3,5,65,25.11,13.18,18.55,0
2016,3,6,66,24.53,14.19,18.21,0
2016,3,7,67,24.7,17.39,20.31,0
2016,3,8,68,27.92,19.44,22.27,10.16
2016,3,9,69,21.53,14.17,15.47,56.642
2016,3,10,70,16.96,14.48,15.76,10.16
2016,3,11,71,21.01,15.08,17.27,7.366
2016,3,12,72,23.52,14.14,17.7,0
2016,3,13,73,29.14,13.69,21,0
2016,3,14,74,32.53,12.94,24.49,0
2016,3,15,75,33,19.01,24.43,0
2016,3,16,76,26.21,16.46,20.91,0
2016,3,17,77,25.99,19.11,21.66,0
2016,3,18,78,25.89,12.89,20.43,1.016
2016,3,19,79,15.7,7.64,11.97,0
2016,3,20,80,16.06,5.33,10.7,0
2016,3,21,81,19.34,3.09,11.68,0
2016,3,22,82,24.61,8.14,16.53,0
2016,3,23,83,26.69,17.94,21.14,2.032
2016,3,24,84,20.1,10.44,15.3,1.27
2016,3,25,85,22.42,5.87,15.15,0
2016,3,26,86,22.54,9.36,16.27,0
2016,3,27,87,22.51,12.77,17.89,0
2016,3,28,88,23.47,8.87,16.26,0
2016,3,29,89,20.2,14.27,18.28,0
2016,3,30,90,24.53,20.13,21.75,0.508
2016,3,31,91,28.77,19.2,23.54,0
2016,4,1,92,19.44,10.39,13.99,7.112
2016,4,2,93,22.37,7.07,14.55,0
2016,4,3,94,25.92,7.34,17.07,0
2016,4,4,95,28.32,12.75,20.17,0
2016,4,5,96,27.16,13.45,20.45,0
2016,4,6,97,26.45,15.46,20.28,0
2016,4,7,98,29.44,10.62,20.1,0
2016,4,8,99,26.06,15.01,20.41,0
2016,4,9,100,25.38,15.34,19.32,0.508
2016,4,10,101,25.57,18.34,20.92,0
2016,4,11,102,31.82,21.08,24.53,0
2016,4,12,103,22.78,15.94,18.43,20.828
2016,4,13,104,21.87,14.98,17.22,11.176
2016,4,14,105,23.23,12.46,16.89,0
2016,4,15,106,25.36,13.67,19.41,0
2016,4,16,107,23.09,17.56,20.16,6.858
2016,4,17,108,25.11,17.06,20.48,35.56
2016,4,18,109,23.67,17.77,19.55,21.59
2016,4,19,110,26.31,17.53,20.97,0
2016,4,20,111,26.18,15.32,20.97,6.096
2016,4,21,112,27.09,15.61,20.39,8.89
2016,4,22,113,27.46,15.89,21.83,0.254
2016,4,23,114,27.11,14.98,21.64,0
2016,4,24,115,25.5,16.72,20.96,0
2016,4,25,116,31.05,20.39,24.82,0
2016,4,26,117,29.84,22.03,25.04,0
2016,4,27,118,31.94,16.25,24.13,12.446
2016,4,28,119,30.62,18.53,24.05,0
2016,4,29,120,29.34,23.28,25.64,0
2016,4,30,121,30.52,18.84,24.06,7.366
2016,5,1,122,24.53,18.2,21.08,0
2016,5,2,123,20.51,13.47,16.57,0
2016,5,3,124,24.12,11.32,17.94,0
2016,5,4,125,29.84,13.11,21.71,0
2016,5,5,126,31.82,15.51,23.67,0
2016,5,6,127,30.67,14.69,23.25,0
2016,5,7,128,29.82,16.51,23.04,0
2016,5,8,129,22.71,19.39,21.2,1.27
2016,5,9,130,31.13,19.51,24.77,0
2016,5,10,131,32.95,18.32,26.56,0.254
2016,5,11,132,30.82,17.77,24.46,9.398
2016,5,12,133,29.62,20.41,24.5,0
2016,5,13,134,32.2,21.29,26,0
2016,5,14,135,28.87,18.84,22.46,18.542
2016,5,15,136,22.11,16.2,19.22,2.54
2016,5,16,137,26.79,19.03,21.69,9.906
2016,5,17,138,28.47,19.01,22.16,0.508
2016,5,18,139,25.43,17.01,19.37,8.128
2016,5,19,140,23.47,15.63,18.22,63.5
2016,5,20,141,27.56,16.51,21.53,0
2016,5,21,142,28.99,20.87,24.19,0
2016,5,22,143,31.61,22.01,25.73,0
2016,5,23,144,29.82,21.48,24.61,0
2016,5,24,145,32.04,23.23,26.68,0
2016,5,25,146,29.94,24.56,26.82,0
2016,5,26,147,32.36,20.13,25.96,2.54
2016,5,27,148,25.02,18.48,20.93,14.732
2016,5,28,149,33.13,18.01,25.07,0
2016,5,29,150,31.56,21.37,26.26,1.778
2016,5,30,151,31.74,19.03,25.73,5.588
2016,5,31,152,28.69,19.56,23.69,0
2016,6,1,153,31.21,20.03,24.02,5.588
2016,6,2,154,28.02,20.17,23.83,2.286
2016,6,3,155,30.52,19.37,24.04,2.794
2016,6,4,156,29.72,18.08,22.89,9.398
2016,6,5,157,30.44,20.22,24.55,14.732
2016,6,6,158,31.38,19.96,25.73,0.762
2016,6,7,159,33.16,21.37,27.07,0
2016,6,8,160,33.49,22.3,28.05,0
2016,6,9,161,33,22.08,27.4,0
2016,6,10,162,32.87,21.44,26.68,0
2016,6,11,163,33.97,24.48,28.73,0
2016,6,12,164,34.36,25.6,29.31,0
2016,6,13,165,35.29,25.21,29.16,0
2016,6,14,166,35.37,25.74,29.21,0
2016,6,15,167,35.72,25.64,29.89,0
2016,6,16,168,35.66,24.19,29.35,0
2016,6,17,169,36.42,24.58,29.65,0
2016,6,18,170,35.96,24.75,30.03,0
2016,6,19,171,34.65,25.64,29.84,0
2016,6,20,172,36.5,24,29.21,0
2016,6,21,173,35.93,24.63,29.97,0
2016,6,22,174,35.53,24.39,29.54,0
2016,6,23,175,34.36,24.53,29.01,0
2016,6,24,176,33.68,24.29,28.28,0
2016,6,25,177,30.42,24.87,27.01,0
2016,6,26,178,34.49,24.7,28.07,0
2016,6,27,179,36.23,24.12,29.17,0
2016,6,28,180,36.74,21.89,29.12,7.874
2016,6,29,181,34.62,22.18,26.73,6.858
2016,7,1,182,34.6,23.59,29.65,0
2016,7,2,183,35.45,25.04,29.61,0
2016,7,3,184,35.98,25.5,29.68,0
2016,7,4,185,36.63,26.36,30.27,0
2016,7,5,186,36.28,26.08,30,0
2016,7,6,187,35.72,26.16,29.94,0
2016,7,7,188,36.52,25.57,29.84,0.508
2016,7,8,189,36.31,26.04,30.06,0
2016,7,9,190,36.33,25.57,30.14,0
2016,7,10,191,35.26,24.27,29.4,0
2016,7,11,192,36.39,26.08,29.9,0
2016,7,12,193,36.17,25.04,29.6,0
2016,7,13,194,36.61,26.16,30.5,0
2016,7,14,195,36.72,25.14,30,0
2016,7,15,196,37.07,25.48,30.57,0
2016,7,16,197,36.42,24.61,29.77,0
2016,7,17,198,36.09,24.32,29.67,0
2016,7,18,199,36.39,25.23,29.98,0
2016,7,19,200,35.98,25.31,29.91,0
2016,7,20,201,36.58,24.87,30.22,0
2016,7,21,202,36.93,24.75,30.87,0
2016,7,22,203,38.01,25.02,31.31,0
2016,7,23,204,37.02,25.36,31.09,0
2016,7,24,205,37.07,25.79,31.28,0
2016,7,25,206,38.7,23.35,29.46,20.574
2016,7,26,207,33.78,24,26.67,4.064
2016,7,27,208,33.08,23.4,26.74,24.13
2016,7,28,209,35.72,24.56,27.62,0
2016,7,29,210,35.58,23.96,29.14,0
2016,7,30,211,35.18,24.73,29.78,0
2016,7,31,212,35.56,25.28,29.9,0
2016,8,1,213,36.14,23.88,29.72,0
2016,8,2,214,36.14,24.39,29.95,0
2016,8,3,215,36.28,24.84,30.64,0
2016,8,4,216,36.47,24.77,30.46,0
2016,8,5,217,36.77,25.16,30.62,0
2016,8,6,218,36.66,25.07,30.89,0
2016,8,7,219,37.07,25.36,31.19,0
2016,8,8,220,37.04,25.69,31.18,0
2016,8,9,221,37.26,25.92,31.23,0
2016,8,10,222,37.51,26.89,31.68,0
2016,8,11,223,38.01,25.87,31.66,0
2016,8,12,224,39.21,25.57,31.15,0
2016,8,13,225,35.05,24.19,27.6,8.128
2016,8,14,226,28.97,21.94,24.42,61.214
2016,8,15,227,24.14,21.58,22.67,55.118
2016,8,16,228,27.63,21.44,23.43,46.99
2016,8,17,229,29.07,23.69,25.27,14.224
2016,8,18,230,31.03,23.35,25.48,1.524
2016,8,19,231,34.07,23.64,28.06,1.016
2016,8,20,232,28.27,22.16,25.27,17.272
2016,8,21,233,27.68,22.47,24.55,6.096
2016,8,22,234,33,23.62,27.06,2.286
2016,8,23,235,33.83,25.53,28.79,0
2016,8,24,236,34.12,24.68,28.62,0
2016,8,25,237,34.26,23.93,28.18,0
2016,8,26,238,34.94,23.96,27.7,0
2016,8,27,239,33.49,22.61,27.95,0
2016,8,28,240,31.99,22.99,26.28,3.556
2016,8,29,241,32.18,22.68,25.57,7.366
2016,8,30,242,31.69,22.68,26.35,0
2016,8,31,243,34.28,23.11,28.5,0.508
2016,9,1,244,34.28,24.63,28.66,0
2016,9,2,245,31.38,23.23,26.71,0
2016,9,3,246,33.39,23.83,27.53,0
2016,9,4,247,33.94,24.07,27.77,0
2016,9,5,248,33.16,22.89,26.62,0
2016,9,6,249,33.86,24.66,27.71,1.524
2016,9,7,250,33.89,25.67,29.08,0
2016,9,8,251,33.94,24.97,28.77,0
2016,9,9,252,33.76,24.7,28.43,0
2016,9,10,253,33.23,21.51,26.83,0
2016,9,11,254,34.71,20.89,26.59,0
2016,9,12,255,33.49,22.08,27.74,0
2016,9,13,256,35.23,23.45,27.88,0
2016,9,14,257,33.42,24.51,28.08,0
2016,9,15,258,34.81,23.52,28.56,0
2016,9,16,259,35.48,23.83,29,0
2016,9,17,260,36.01,23.98,29.61,0
2016,9,18,261,36.39,24.87,30.29,0
2016,9,19,262,36.31,24.63,30.35,0
2016,9,20,263,37.4,24.1,30.12,0
2016,9,21,264,34.84,24.34,28.87,0
2016,9,22,265,34.54,22.42,27.96,0
2016,9,23,266,33.97,23.93,27.4,0
2016,9,24,267,34.57,24.51,27.34,0
2016,9,25,268,29.27,21.22,24.4,13.208
2016,9,26,269,22.8,18.63,21.13,5.08
2016,9,27,270,25.89,18.63,21.63,0
2016,9,28,271,31.94,18.18,24.28,0
2016,9,29,272,28.39,18.27,22.58,0
2016,9,30,273,28.54,14.82,20.97,0
2016,10,1,274,26.94,15.63,20.7,0
2016,10,2,275,30.72,14.67,22.28,0
2016,10,3,276,30.92,17.32,24.02,0
2016,10,4,277,33.26,20.98,26.03,0
2016,10,5,278,33.21,23.71,27.51,0
2016,10,6,279,33.26,24.07,27.32,0
2016,10,7,280,30.62,17.25,23.61,0
2016,10,8,281,28.59,15.58,21.39,0
2016,10,9,282,27.61,14.65,20.75,0
2016,10,10,283,29.69,12.61,20.31,0
2016,10,11,284,31.36,13.83,22.33,0
2016,10,12,285,32.69,17.53,25.06,0
2016,10,13,286,31.89,20.17,25.23,1.27
2016,10,14,287,32.02,19.13,24.04,2.794
2016,10,15,288,32.87,21.77,26.27,0
2016,10,16,289,33.55,23.62,27.19,0
2016,10,17,290,33.57,23.26,27.28,0
2016,10,18,291,33.13,23.83,27.17,0
2016,10,19,292,33.06,24.17,27.49,0
2016,10,20,293,27.14,18.42,23.46,0
2016,10,21,294,24.58,12.14,17.74,0
2016,10,22,295,26.67,9.38,17.84,0
2016,10,23,296,28.77,12.63,20.23,0
2016,10,24,297,30.92,19.53,23.57,0
2016,10,25,298,28.54,18.84,23.05,0
2016,10,26,299,30.9,17.89,23.43,0
2016,10,27,300,31.46,18.61,23.82,0
2016,10,28,301,29.99,16.77,23.04,0
2016,10,29,302,29.57,17.32,22.98,0
2016,10,30,303,30.75,18.44,23.8,0
2016,10,31,304,28.82,16.22,22.24,0
2016,11,1,305,32.74,21.72,25.4,0
2016,11,2,306,30.98,22.3,25.38,0
2016,11,3,307,25.92,19.37,22.41,0
2016,11,4,308,21.87,19.44,20.61,0
2016,11,5,309,21.51,17.25,19.73,0
2016,11,6,310,22.94,15.51,18.01,0
2016,11,7,311,21.32,16.32,18.86,0
2016,11,8,312,20.22,16.96,18.54,0
2016,11,9,313,18.06,15.75,16.83,0
2016,11,10,314,20.77,14.62,16.89,0
2016,11,11,315,23.14,13.5,16.9,0
2016,11,12,316,25.04,13.91,18.05,0
2016,11,13,317,25.41,12.63,17.94,0
2016,11,14,318,27.9,13.11,19.13,0
2016,11,15,319,30.12,15.7,21.13,0
2016,11,16,320,30.27,14.27,21.51,0
2016,11,17,321,27.97,14.46,21.09,0
2016,11,18,322,26.18,11.34,18.96,0
2016,11,19,323,16.16,5.23,10.53,0
2016,11,20,324,19.58,1.83,10.7,0
2016,11,21,325,24.82,6.38,15.7,0
2016,11,22,326,24.41,16.27,20.36,0
2016,11,23,327,22.13,10.69,16.99,0
2016,11,24,328,24.82,8.07,16.28,0
2016,11,25,329,19.08,13.02,15.92,0
2016,11,26,330,20.37,11.93,16.06,0
2016,11,27,331,24,13.54,18.5,0
2016,11,28,332,25.89,11.98,21.11,0
2016,11,29,333,26.33,10.54,17.44,0
2016,11,30,334,19.32,6.08,13.57,0
2016,12,1,335,20.74,3.8,11.15,0
2016,12,2,336,18.13,9.68,13.16,2.286
2016,12,3,337,13.88,8.94,10.16,41.148
2016,12,4,338,10.96,9.61,10.09,4.572
2016,12,5,339,11.34,8.34,9.35,21.336
2016,12,6,340,14.31,7.47,10.71,0.254
2016,12,7,341,12.99,5.26,8.81,0
2016,12,8,342,11.91,2.61,7.1,0
2016,12,9,343,8.19,-0.2,2.58,0
2016,12,10,344,10.96,1.72,6.17,0
2016,12,11,345,19.65,9.91,13.21,0
2016,12,12,346,19.82,7.22,13.41,0
2016,12,13,347,23.98,10.27,15.88,0
2016,12,14,348,13.02,5.46,10.04,0
2016,12,15,349,12.63,6.28,9.34,0
2016,12,16,350,19.03,10.24,12.45,0
2016,12,17,351,25.23,16.87,19.09,0
2016,12,18,352,21.7,-4.47,0.42,0
2016,12,19,353,6.05,-5.7,-1.27,0
2016,12,20,354,15.24,0.93,5.65,0
2016,12,21,355,20.89,6.79,12.52,0
2016,12,22,356,18.63,9.43,14,0
2016,12,23,357,20.27,10.1,14.12,0.254
2016,12,24,358,25.77,17.61,20.9,0
2016,12,25,359,26.84,19.98,22.4,0
2016,12,26,360,29.22,21.34,23.36,0
2016,12,27,361,24.43,17.63,20.92,0
2016,12,28,362,28.27,16.89,21.21,0
2016,12,29,363,24.68,13.02,17.09,0
2016,12,30,364,13.07,8.24,10.01,0
