YEAR,MONTH,DAY,DOY,TMAX,TMIN,TMEAN,RAIN
2016,1,1,1,8.67,6,6.99,0
2016,1,2,2,8.37,5.64,6.66,2.54
2016,1,3,3,17.08,5.33,9.29,0
2016,1,4,4,13.74,3.41,7.95,0
2016,1,5,5,13.43,3.17,7.54,0
2016,1,6,6,11.42,7.12,9.22,5.334
2016,1,7,7,22.47,9.53,14.01,0
2016,1,8,8,19.48,7.77,12.91,0
2016,1,9,9,14.36,3.12,8.45,0
2016,1,10,10,9.71,-0.06,4.1,0
2016,1,11,11,14.05,1.32,6.01,0
2016,1,12,12,19.13,2.29,9.86,0
2016,1,13,13,18.58,4.48,11.47,0
2016,1,14,14,20.79,8.47,14.24,0
2016,1,15,15,22.61,9.36,14.66,0
2016,1,16,16,16.29,5.51,9.53,0
2016,1,17,17,13.59,0.16,7.1,0
2016,1,18,18,16.22,2.72,8.01,0
2016,1,19,19,20.41,6.87,13.25,0
2016,1,20,20,13.81,6.16,10.42,0
2016,1,21,21,17.39,5.84,12.1,0
2016,1,22,22,11.34,2.93,6.47,0
2016,1,23,23,13.96,-0.48,6.87,0
2016,1,24,24,20.51,2.05,11.73,0
2016,1,25,25,24.58,13.78,17.31,0
2016,1,26,26,14.1,6.03,9.52,0
2016,1,27,27,14.38,2.13,7.52,0
2016,1,28,28,22.13,0.85,10.49,0
2016,1,29,29,24.07,5.57,15.17,0
2016,1,30,30,24.84,7.22,16.34,0
2016,1,31,31,29.87,15.39,20.26,0
2016,2,1,32,25.16,13.33,18.16,0
2016,2,2,33,21.65,12.12,16.57,0
2016,2,3,34,13.69,4.24,8.61,0
2016,2,4,35,14.38,1.69,7.51,0
2016,2,5,36,16.08,1.69,9.48,0
2016,2,6,37,15.06,3.83,10.09,0
2016,2,7,38,19.93,0.55,9.93,0
2016,2,8,39,17.32,7.24,11.48,0
2016,2,9,40,22.16,4.43,12.61,0
2016,2,10,41,23.16,5.16,14.69,0
2016,2,11,42,27.61,11.93,19.57,0
2016,2,12,43,25.67,8.82,17.65,0
2016,2,13,44,23.18,10.69,16.54,0
2016,2,14,45,23.11,13.78,17.33,0
2016,2,15,46,22.82,11.1,17.39,0
