MONTH,DAY,YEAR,DOY,TMAX,TMIN,TMEAN,RAIN
1,1,2016,1,5.7,-7.6,-0.95,0
1,2,2016,2,7.6,-6.4,0.6,0
1,3,2016,3,5,-5.7,-0.35,0
1,4,2016,4,-3.3,-8.1,-5.7,0
1,5,2016,5,6.4,-9,-1.3,0
1,6,2016,6,3.7,0.5,2.1,1.02
1,7,2016,7,6.3,2.1,4.2,8.38
1,8,2016,8,4.2,-1.1,1.55,0
1,9,2016,9,-0.6,-14.1,-7.35,0
1,10,2016,10,-2.9,-17.5,-10.2,0
1,11,2016,11,5.9,-4.2,0.85,0
1,12,2016,12,0.2,-6.9,-3.35,0
1,13,2016,13,12,-4.6,3.7,0.25
1,14,2016,14,13.4,0.8,7.1,0
1,15,2016,15,2.9,-5.2,-1.15,0
1,16,2016,16,3.2,-7.7,-2.25,0
1,17,2016,17,-6.3,-15.1,-10.7,0
1,18,2016,18,0,-15.6,-7.8,0
1,19,2016,19,-3.1,-5.3,-4.2,0
1,20,2016,20,-0.1,-5.4,-2.75,2.03
1,21,2016,21,-2,-6.5,-4.25,1.02
1,22,2016,22,-2.5,-7,-4.75,0
1,23,2016,23,0.5,-8.2,-3.85,0
1,24,2016,24,7.7,-8.5,-0.4,0
1,25,2016,25,2,-3.7,-0.85,0
1,26,2016,26,3.8,-5,-0.6,0
1,27,2016,27,10.9,-7.2,1.85,0
1,28,2016,28,11.1,-2.2,4.45,0
1,29,2016,29,19.7,-3.4,8.15,0
1,30,2016,30,15.1,-2.5,6.3,0
1,31,2016,31,11.9,2.2,7.05,0
2,1,2016,32,8.7,1.3,5,0.51
2,2,2016,33,8.2,-1,3.6,9.4
2,3,2016,34,0.4,-6.9,-3.25,0
2,4,2016,35,6,-8,-1,0
2,5,2016,36,7.4,-6.2,0.6,0
2,6,2016,37,9.7,-6.3,1.7,0
2,7,2016,38,10.7,2.1,6.4,0
2,8,2016,39,4,-0.5,1.75,0
2,9,2016,40,0,-7.2,-3.6,0
2,10,2016,41,17.1,-7.6,4.75,0
2,11,2016,42,6,-4.6,0.7,0
