TMPL	Temperature (*C)	Temperature (*C)	Soil Moist-VWC (%VWC)	Solar Rad (wat/m2)	RH (%)	Temperature (*C)	Rainfall (mm)	Wind Dir (Deg)	Wind Gust (km/h)	Wind Speed (km/h)	Dew Point (*C)
	*C	*C	%VWC	wat/m2	%	*C	mm	Deg	km/h	km/h	*C
	TMPA	TMPB	VWCC	SRD	HMD	TMP	RNF	WND	WNG	WNS	DEW
2019-06-01 00:00	25.9	27.2	58.1	0.0	95.0	22.6	0.0	237	0	0	21.8
2019-06-01 00:15	25.8	27.1	58.1	0.0	95.6	22.6	0.0	237	0	0	21.9
2019-06-01 00:30	25.6	26.9	58.0	0.0	96.6	22.3	0.0	237	0	0	21.7
2019-06-01 00:45	25.5	26.8	57.8	0.0	97.4	22.2	0.0	237	0	0	21.8
2019-06-01 01:00	25.4	26.7	57.6	0.0	96.8	22.2	0.0	238	0	0	21.7
2019-06-01 01:15	25.3	26.6	57.6	0.0	97.2	22.1	0.0	238	0	0	21.6
2019-06-01 01:30	25.2	26.5	57.6	0.0	98.1	21.6	0.0	238	0	0	21.3
2019-06-01 01:45	25.1	26.4	57.5	0.0	98.7	21.2	0.0	238	0	0	21.0
2019-06-01 02:00	24.9	26.3	57.5	0.0	98.9	21.2	0.0	238	0	0	21.0
2019-06-01 02:15	24.8	26.2	57.5	0.0	99.1	21.0	0.0	238	0	0	20.9
2019-06-01 02:30	24.7	26.1	57.5	0.0	99.3	20.9	0.0	238	0	0	20.8
2019-06-01 02:45	24.6	25.9	57.5	0.0	99.5	20.6	0.0	238	0	0	20.5
2019-06-01 03:00	24.5	25.8	57.5	0.0	99.6	20.4	0.0	238	0	0	20.3
2019-06-01 03:15	24.3	25.8	57.5	0.0	99.8	20.6	0.0	238	0	0	20.6
2019-06-01 03:30	24.3	25.6	57.5	0.0	99.9	21.4	0.0	238	0	0	21.4
2019-06-01 03:45	24.2	25.6	57.5	0.0	99.9	21.3	0.0	238	0	0	21.3
2019-06-01 04:00	24.2	25.4	57.5	0.0	99.9	21.1	0.0	238	0	0	21.1
2019-06-01 04:15	24.1	25.4	57.5	0.0	99.9	20.9	0.0	238	0	0	20.9
2019-06-01 04:30	23.9	25.3	57.2	0.0	99.9	20.8	0.0	238	0	0	20.8
2019-06-01 04:45	23.8	25.2	57.2	0.0	99.9	20.2	0.0	238	0	0	20.2
2019-06-01 05:00	23.8	25.1	57.5	0.0	99.8	20.3	0.0	238	0	0	20.3
2019-06-01 05:15	23.6	25.1	57.2	0.0	99.9	19.6	0.0	238	0	0	19.6
2019-06-01 05:30	23.6	24.9	57.2	0.0	99.9	20.0	0.0	255	1	0	20.0
2019-06-01 05:45	23.4	24.8	57.2	0.0	99.9	20.1	0.0	264	0	0	20.1
2019-06-01 06:00	23.3	24.8	57.2	0.0	99.8	19.6	0.0	264	0	0	19.6
2019-06-01 06:15	23.3	24.7	57.2	0.0	99.8	19.4	0.0	264	1	0	19.4
2019-06-01 06:30	23.2	24.6	57.2	2.0	99.9	19.7	0.0	264	0	0	19.7
2019-06-01 06:45	23.2	24.5	57.2	12.0	99.9	19.7	0.0	264	0	0	19.7
