TMPL
                    	Temperature (*C)	Temperature (*C)	Soil Moist-VWC (%VWC)	Solar Rad (wat/m2)	RH (%)	Temperature (*C)	Rainfall (mm)	Wind Dir (Deg)	Wind Gust (km/h)	Wind Speed (km/h)	Dew Point (*C)
                    	*C	*C	%VWC	wat/m2	%	*C	mm	Deg	km/h	km/h	*C
Date and Time   	TMPA	TMPB	VWCC	SRD	HMD	TMP	RNF	WND	WNG	WNS	DEW
2019-06-11 09:45	25.6	24.9	54.3	601.0	55.4	25.5	0.0	199	8	3	15.9
2019-06-11 10:00	26.7	25.3	54.3	539.0	55.7	25.2	0.0	214	9	1	15.7
2019-06-11 10:15	27.7	25.8	54.3	686.0	52.8	25.9	0.0	218	9	3	15.5
2019-06-11 10:30	28.9	26.4	53.8	728.0	52.3	26.2	0.0	245	12	4	15.7
2019-06-11 10:45	29.8	27.1	53.9	530.0	52.3	25.4	0.0	242	12	4	14.9
2019-06-11 11:00	30.2	27.7	53.9	701.0	51.1	26.4	0.0	248	11	3	15.5
2019-06-11 11:15	31.0	28.2	53.8	539.0	50.8	26.2	0.0	241	9	1	15.2
2019-06-11 11:30	31.2	28.7	53.9	462.0	52.0	25.9	0.0	244	8	3	15.3
2019-06-11 11:45	31.1	29.0	54.3	353.0	52.7	25.4	0.0	242	6	1	15.0
2019-06-11 12:00	30.9	29.2	54.6	372.0	52.2	25.6	0.0	238	6	1	15.1
2019-06-11 12:15	31.0	29.3	54.2	654.0	49.8	26.7	0.0	232	6	1	15.4
2019-06-11 12:30	32.1	29.4	54.2	876.0	46.7	27.8	0.0	204	8	3	15.4
2019-06-11 12:45	33.3	29.9	54.2	977.0	46.1	28.3	0.0	249	9	1	15.6
2019-06-11 13:00	34.4	30.6	54.3	634.0	46.1	28.4	0.0	255	6	0	15.7
2019-06-11 13:15	34.1	31.2	54.5	301.0	49.5	26.9	0.0	252	3	0	15.4
2019-06-11 13:30	33.2	31.4	54.5	235.0	52.1	26.2	0.0	258	4	0	15.6
2019-06-11 13:45	32.6	31.3	54.8	223.0	51.6	26.1	0.0	265	3	0	15.4
2019-06-11 14:00	32.2	31.2	54.6	518.0	48.8	27.5	0.0	180	3	0	15.8
2019-06-11 14:15	32.7	31.1	54.3	621.0	48.2	28.0	0.0	165	6	0	16.0
2019-06-11 14:30	33.4	31.2	54.3	641.0	47.6	28.1	0.0	117	4	0	15.9
2019-06-11 14:45	33.9	31.5	54.3	689.0	47.8	28.7	0.0	193	6	0	16.5
2019-06-11 15:00	34.7	31.8	54.3	648.0	46.7	28.8	0.0	241	8	1	16.3
2019-06-11 15:15	34.6	32.2	54.8	436.0	48.5	27.8	0.0	268	6	0	15.9
2019-06-11 15:30	34.3	32.4	55.0	409.0	49.0	27.7	0.0	261	8	0	16.0
2019-06-11 15:45	34.0	32.4	54.6	276.0	49.8	27.4	0.0	279	3	0	16.0
2019-06-11 16:00	33.3	32.4	54.6	157.0	53.8	26.4	0.0	273	3	0	16.3
2019-06-11 16:15	32.7	32.2	54.8	185.0	54.2	26.5	0.0	264	1	0	16.5
2019-06-11 16:30	32.3	31.9	55.0	286.0	59.3	26.2	0.0	264	1	0	17.6
2019-06-11 16:45	32.1	31.8	55.0	247.0	59.0	26.0	0.0	264	1	0	17.4
2019-06-11 17:00	31.7	31.6	55.0	180.0	57.9	25.9	0.0	264	1	0	17.0
2019-06-11 17:15	31.4	31.4	55.0	195.0	60.2	25.9	0.0	276	1	0	17.6
2019-06-11 17:30	31.1	31.2	55.0	88.0	61.2	25.3	0.0	285	1	0	17.3
2019-06-11 17:45	30.6	31.0	55.2	117.0	65.1	25.1	0.0	285	1	0	18.1
2019-06-11 18:00	30.3	30.7	55.2	111.0	67.5	25.1	0.0	285	1	0	18.7
2019-06-11 18:15	30.1	30.5	55.2	145.0	65.6	25.5	0.0	285	0	0	18.6
2019-06-11 18:30	30.1	30.3	55.2	263.0	55.8	26.7	0.0	285	1	0	17.1
2019-06-11 18:45	30.2	30.2	55.2	235.0	55.7	26.6	0.0	283	3	0	17.0
2019-06-11 19:00	30.1	30.2	55.2	204.0	54.3	26.9	0.0	248	6	0	16.9
2019-06-11 19:15	29.9	30.1	55.2	146.0	57.9	26.1	0.0	275	6	1	17.2
2019-06-11 19:30	29.6	30.1	55.2	173.0	55.3	27.2	0.0	273	3	0	17.5
2019-06-11 19:45	29.2	29.8	55.2	139.0	57.6	26.4	0.0	112	3	0	17.4
2019-06-11 20:00	28.8	29.7	55.4	78.0	61.1	26.3	0.0	9	0	0	18.2
2019-06-11 20:15	28.4	29.4	55.4	26.0	67.1	24.9	0.0	9	0	0	18.4
2019-06-11 20:30	28.0	29.2	55.2	10.0	79.8	22.5	0.0	9	0	0	18.8
