FRMI
                    	Temperature (*C)	Temperature (*C)	Soil Moist-VWC (%VWC)	Solar Rad (wat/m2)	RH (%)	Temperature (*C)	Rainfall (mm)	Wind Dir (Deg)	Wind Gust (km/h)	Wind Speed (km/h)	Dew Point (*C)
                    	*C	*C	%VWC	wat/m2	%	*C	mm	Deg	km/h	km/h	*C
Date and Time   	TMPA	TMPB	VWCC	SRD	HMD	TMP	RNF	WND	WNG	WNS	DEW
2020-04-10 13:00	19.0	11.7	32.9	837.0	47.3	7.6	0.0	295	22	12	-2.9
2020-04-10 13:30	18.9	12.3	33.0	800.0	47.3	7.8	0.0	289	20	11	-2.7
2020-04-10 14:00	19.9	12.9	33.0	799.0	47.8	8.4	0.0	262	24	9	-2.0
2020-04-10 14:30	21.3	13.5	33.1	782.0	48.0	8.6	0.0	221	20	9	-1.8
2020-04-10 15:00	20.8	14.0	33.4	730.0	47.4	8.8	0.0	232	24	11	-1.8
2020-04-10 15:30	20.9	14.3	33.4	712.0	47.0	9.1	0.0	240	19	9	-1.6
2020-04-10 16:00	20.4	14.7	33.4	625.0	46.5	9.5	0.0	234	22	11	-1.4
2020-04-10 16:30	19.8	14.7	33.0	552.0	46.2	9.6	0.0	235	20	9	-1.4
2020-04-10 17:00	18.2	14.6	32.6	377.0	46.5	9.6	0.0	245	24	11	-1.3
2020-04-10 17:30	15.7	14.0	32.7	213.0	48.3	9.2	0.0	245	20	9	-1.2
2020-04-10 18:00	14.3	13.3	32.7	160.0	49.0	8.9	0.0	255	19	9	-1.3
2020-04-10 18:30	12.8	12.6	32.4	83.0	49.3	8.6	0.0	293	17	9	-1.4
2020-04-10 19:00	11.6	11.9	32.2	53.0	50.2	8.2	0.0	262	14	8	-1.6
2020-04-10 19:30	10.4	11.3	32.1	11.0	52.5	7.7	0.0	286	9	3	-1.4
2020-04-10 20:00	9.4	10.7	31.8	0.0	55.4	6.9	0.0	240	6	0	-1.4
2020-04-10 20:30	8.8	10.2	31.7	0.0	58.4	6.2	0.0	252	3	0	-1.4
2020-04-10 21:00	8.1	9.7	31.7	0.0	60.6	5.7	0.0	256	0	0	-1.3
2020-04-10 21:30	7.6	9.2	31.5	0.0	66.6	4.8	0.0	258	1	0	-0.9
2020-04-10 22:00	7.1	8.8	31.1	0.0	71.0	4.0	0.0	256	1	0	-0.8
2020-04-10 22:30	6.9	8.6	31.1	0.0	74.4	3.8	0.0	256	0	0	-0.3
2020-04-10 23:00	6.7	8.3	31.1	0.0	74.8	3.7	0.0	256	0	0	-0.4
2020-04-10 23:30	6.1	8.1	31.1	0.0	71.8	4.0	0.0	256	0	0	-0.6
2020-04-11 00:00	5.9	7.8	31.1	0.0	75.4	3.4	0.0	255	1	0	-0.5
2020-04-11 00:30	6.0	7.6	31.1	0.0	82.4	3.1	0.0	256	0	0	0.4
2020-04-11 01:00	6.1	7.5	31.1	0.0	78.4	3.7	0.0	256	0	0	0.3
2020-04-11 01:30	6.2	7.5	31.0	0.0	80.8	3.9	0.0	255	0	0	0.9
2020-04-11 02:00	6.3	7.4	31.0	0.0	76.1	4.6	0.0	180	4	0	0.7
2020-04-11 02:30	6.2	7.4	31.0	0.0	68.2	5.4	0.0	168	8	1	0.0
2020-04-11 03:00	6.2	7.3	30.7	0.0	62.7	6.6	0.0	206	17	8	0.0
2020-04-11 03:30	6.3	7.3	30.7	0.0	64.9	6.4	0.0	220	9	3	0.3
2020-04-11 04:00	6.3	7.3	30.7	0.0	65.0	6.5	0.0	269	16	6	0.4
2020-04-11 04:30	6.3	7.3	30.9	0.0	66.3	6.4	0.0	283	12	4	0.6
2020-04-11 05:00	6.3	7.2	30.7	0.0	68.0	6.1	0.0	314	8	3	0.6
2020-04-11 05:30	6.2	7.2	30.9	0.0	69.7	5.8	0.0	343	6	0	0.7
2020-04-11 06:00	6.1	7.2	30.6	0.0	71.3	5.4	0.0	344	1	0	0.6
2020-04-11 06:30	6.1	7.1	30.6	0.0	71.4	5.4	0.0	344	1	0	0.6
2020-04-11 07:00	6.1	7.1	30.7	11.0	73.4	5.4	0.0	289	6	0	1.0
2020-04-11 07:30	6.3	7.1	30.7	53.0	69.8	6.3	0.0	93	6	1	1.2
2020-04-11 08:00	7.2	7.3	30.7	141.0	66.3	7.3	0.0	148	17	4	1.4
2020-04-11 08:30	7.9	7.5	30.7	199.0	63.0	7.9	0.0	159	16	8	1.3
2020-04-11 09:00	9.4	7.9	30.7	287.0	59.7	8.8	0.0	129	14	6	1.4
2020-04-11 09:30	10.4	8.4	30.7	306.0	56.6	9.3	0.0	115	17	9	1.1
2020-04-11 10:00	11.8	9.0	30.7	432.0	52.4	10.2	0.0	115	24	9	0.9
2020-04-11 10:30	14.2	9.8	30.5	617.0	47.6	11.7	0.0	112	20	11	0.9
