FRMI
                    	Temperature (*C)	Temperature (*C)	Soil Moist-VWC (%VWC)	Solar Rad (wat/m2)	RH (%)	Temperature (*C)	Rainfall (mm)	Wind Dir (Deg)	Wind Gust (km/h)	Wind Speed (km/h)	Dew Point (*C)
                    	*C	*C	%VWC	wat/m2	%	*C	mm	Deg	km/h	km/h	*C
Date and Time   	TMPA	TMPB	VWCC	SRD	HMD	TMP	RNF	WND	WNG	WNS	DEW
2020-07-23 14:30	37.9	31.5	22.7	618.0	56.1	26.1	0.0	213	4	0	16.7
2020-07-23 15:00	36.5	31.7	23.0	432.0	59.1	25.8	0.0	289	4	0	17.2
2020-07-23 15:30	35.0	31.4	23.1	487.0	60.4	25.6	0.0	280	4	0	17.4
2020-07-23 16:00	36.8	31.4	22.7	756.0	55.0	27.4	0.0	271	8	0	17.6
2020-07-23 16:30	38.0	32.1	22.4	698.0	54.7	27.7	0.0	280	8	1	17.8
2020-07-23 17:00	38.0	32.7	22.3	625.0	54.5	27.8	0.0	261	6	1	17.8
2020-07-23 17:30	37.3	32.8	22.7	516.0	56.2	27.6	0.0	261	8	1	18.1
2020-07-23 18:00	35.6	32.7	23.0	267.0	59.4	26.4	0.0	317	8	0	17.8
2020-07-23 18:30	33.4	32.0	22.9	268.0	60.2	25.8	0.0	296	9	1	17.5
2020-07-23 19:00	32.3	31.3	22.8	195.0	64.7	24.9	0.0	314	8	1	17.8
2020-07-23 19:30	30.4	30.6	22.7	130.0	67.7	24.1	0.0	265	11	1	17.8
2020-07-23 20:00	28.5	29.7	22.4	53.0	72.7	22.8	0.0	295	4	0	17.6
2020-07-23 20:30	27.1	28.8	22.0	7.0	77.5	21.3	0.0	350	4	0	17.2
2020-07-23 21:00	26.1	27.9	21.9	0.0	83.0	20.2	0.0	344	1	0	17.2
2020-07-23 21:30	25.2	27.2	21.9	0.0	86.7	19.4	0.0	344	1	0	17.1
2020-07-23 22:00	24.4	26.6	21.7	0.0	89.8	18.6	0.0	344	1	0	16.9
2020-07-23 22:30	23.8	26.0	21.6	0.0	91.0	18.2	0.0	344	0	0	16.7
2020-07-23 23:00	23.2	25.4	21.6	0.0	93.0	16.9	0.0	344	0	0	15.8
2020-07-23 23:30	22.6	24.9	21.6	0.0	94.4	15.9	0.0	344	0	0	15.0
2020-07-24 00:00	22.0	24.5	21.5	0.0	95.5	15.9	0.0	344	0	0	15.2
2020-07-24 00:30	21.6	24.1	21.2	0.0	96.1	15.9	0.0	344	0	0	15.3
2020-07-24 01:00	21.1	23.7	21.2	0.0	96.4	15.3	0.0	344	0	0	14.7
2020-07-24 01:30	20.7	23.3	21.2	0.0	96.7	14.8	0.0	344	0	0	14.3
2020-07-24 02:00	20.3	22.9	21.2	0.0	97.0	14.8	0.0	344	0	0	14.3
2020-07-24 02:30	20.0	22.6	21.2	0.0	97.2	13.9	0.0	344	0	0	13.5
2020-07-24 03:00	19.7	22.3	21.0	0.0	97.3	13.9	0.0	344	0	0	13.5
2020-07-24 03:30	19.4	22.0	20.8	0.0	97.5	13.6	0.0	344	0	0	13.2
2020-07-24 04:00	19.1	21.7	20.8	0.0	97.7	13.6	0.0	344	0	0	13.2
2020-07-24 04:30	18.8	21.4	20.8	0.0	97.8	13.4	0.0	344	0	0	13.1
2020-07-24 05:00	18.6	21.2	20.8	0.0	97.9	13.2	0.0	344	0	0	12.9
2020-07-24 05:30	18.3	20.9	20.8	0.0	98.1	13.1	0.0	344	0	0	12.8
2020-07-24 06:00	18.2	20.7	20.8	6.0	98.1	13.0	0.0	344	0	0	12.7
2020-07-24 06:30	18.2	20.6	20.7	34.0	98.2	13.7	0.0	344	0	0	13.4
2020-07-24 07:00	18.6	20.5	20.5	142.0	97.8	16.9	0.0	344	0	0	16.5
2020-07-24 07:30	19.2	20.6	20.5	218.0	91.8	19.0	0.0	338	3	0	17.6
2020-07-24 08:00	20.0	20.8	20.5	300.0	88.1	20.3	0.0	324	6	0	18.3
2020-07-24 08:30	22.1	21.2	20.7	393.0	84.8	21.7	0.0	302	4	0	19.0
2020-07-24 09:00	25.3	22.1	21.0	488.0	79.0	22.9	0.0	283	3	0	19.1
2020-07-24 09:30	28.1	23.3	21.0	581.0	70.3	24.6	0.0	317	6	0	18.8
2020-07-24 10:00	30.6	24.6	21.4	664.0	64.8	25.6	0.0	317	6	0	18.5
2020-07-24 10:30	32.8	25.9	21.7	738.0	62.0	26.3	0.0	302	6	0	18.4
2020-07-24 11:00	34.9	27.2	21.7	805.0	58.6	27.3	0.0	303	8	0	18.5
2020-07-24 11:30	36.8	28.6	21.5	859.0	55.8	27.9	0.0	297	8	1	18.3
2020-07-24 12:00	38.5	29.8	21.7	907.0	54.6	28.1	0.0	278	6	1	18.1
